boli,simptome
Granulomul inelar,"""Papul, eritematos, piele, subcutanat, leziune, mână, picior, gleznă, deget, gât, extremitate, scalp, palmă, plantă, senzație, de, arsură, ocazional, Inelă, placă, inelar, ombilica, eritem, dermic, arcuat, hiperpigmentat"""
Granulomul inghinal,"""leziune, ulcerativ, genital, Nodul, mucus, sânge, vascular, ulcer, Ulcer, margine, sângerare, piele, adiacent, uscat, placă, cicatricial, limfedem, Tumefiere, organ, extern, labă, afectare, extragenital, orală/gastrointestinal, scalp, abdomen, picior, infecție"""
Gravida cu malformații congenitale ale cordului,"""Dispneu, stenoză, pulmonar, sever, boală, Ebstein, Fatigabilitate, membru, inferior, Coarctație, Cianoză"""
Gripa,"""febră, Faringită, frontală/retro-orbitală, simptom, ocular, fotofobie, senzație, de, arsură, durere, mișcare, Slăbiciune, Fatigabilitate, sever, encefalopatie, acut, gripă, hipoxie, fierbinte, Ral, pulmonar"""
Gripa A/H1N1,"""durere, de, cap, Vomă, vărsătură, Astenie, oboseală, vomă, greață"""
Gripa aviara,"""febra, Dispnee, greața, durere, de, gât, cap, Inflamare, parenchim, pulmonar, pneumonie"""
Gripa porcina,"""durere, gât, Crampă, muscular, mialgiu, oboseală, vărsătură, emeză, insuficiență, respiratoriu, Detresă"""
Gripa spaniolă,"""poftă, durere, muscular, oboseală, de, cap, stomac, febră, neproductiv, pneumonie, viral, sindrom, detresă, respiratoriu, acut, albăstrire, tegumentă, Sângerare, nazal, Constipație"""
Guta,"""Artrită, ace, Afectare, articulație, mic, extremitate, inflamație, atac, Atac, roșu, sensibil, artrită, inflamatoriu, intermitent, Artrita, poliarticulară, insuficiență, renal, diuretic, membru, cronică, gutoce, țesut, Noduli, tof, helix, urechi, deget, olecrane, Calcul, litiază, afectare, ocular, conjunctival, keratită, marginal, al, vedere, senzație, de, corp, lichid, sinovial, acut"""
Gușa multinodulară toxică,"""tiroidă, gușă, Disfagie, afectare, esofag, Dispnee, trahee, Stridor, voce, bitonal, persistent, nerv, laringeu, recurent, Eritroză, facil, Dilatare, venă, gât, durere, hemoragiu, intranodular, Anorexie, poftă, Constipație, Tremuri, Nervozita, Iritabilita, Astenie, Crampă, muscular, Hipotonia, musculatură"""
Gușa simplă (netoxică),"""tiroidă, Dispnee, Stridor, senzație, de, gât, Răgușeală, persistent, Disfagie, Eritroză, facil, Dilatare, venă, regiune, toracic, durere, hemoragiu, Amețeală, sincop, gușă, retrosternal, palpabil, hiperextensie, vizibil"""
Halena - respiratia urat mirositoare,"""membrană, limbă, gură, scurgere, respirație, senzație, de, arsură, avea, limbi"""
Hiperemezis gravidarium,"""greață, sever, vărsătură, nutrițional, dezechilibru, metabolic, alcaloză, hipercloremic, hipokaliemie, sensibilitate, Ptialism, hipersalivație, oboseală, Slăbiciune, tulburare, al, somn, depresie, anxietate, Iritabilita, modificare, comportament, cetonă, urină"""
Halena,"""respirație, urât, uscat, xerostomie, scurgere, nazal, gură"""
Haptofobia,"""panică, urticari, piele, hipersensibilitate, durere, agitație, neliniște"""
Hemangioame cutanate,"""tegument, hemangiom, tuberos, țesut, cavernos, subcutanat, Nod, central, telangiectazie, venă, venos, hemangioam, hipertrofic, gigant, mixt"""
Hemangioamele hepatice,"""durere, hipocondr, drept, epigastr, Greț, vărst, anemie, hemangioamă, gigant, necroză, tumoral, Policitemie, eritropoietină, Fibrinoliză, sindrom, hemolitic, insuficiență, cardiac, șunture, arterio-venos, Trombocitopenie, Kasabach-Merritt"""
Hemangioamele infantile,"""leziune, eritem, teleangiectatic, macular, ulcerație, superficial, tumefacție, de, piele, teleangiectazie, Hemangiom, cutanat, mixt, localiza, segmentar, turtire, atrofi, modificare, rezidual, cicatrici, hipopigmentare, tub, digestiv, creier, pancreas, veziculă, biliar, glandă, suprarenal, multiplu, hemangiom, visceral"""
Hemangiomul cavernos,"""cerebral, accident, vascular, vorbire, neclar, Diplopie, vedere, dublu, retiniană, slăbiciune, tulburare, de, memorie, amorțeală, Paralizie, durere, ocular, Ptoză, palpebral, pleoapă, abdominal, Glisson"""
Hemangiomul hepatic,"""durere, abdominal, ficat, insuficiență, cardiac, șunt, arteriovenos, colorație, galben, piele, mucoasă, compresie, ductă, biliar, sângerare, gastrointestinal, hemobilie, febră, anemie, trombocitoză, VSH, senzație, leziune, greață, Trombocitopenie, sindrrea, Kasabach-Merritt, Coagulopatie, de, coagulare, sindrom, sânge, hemangiom, hepatic, masiv"""
Hemangiomul senil al buzei,"""leziune, proeminent, buză, traumatizare"""
Hemartroza,"""Hemoragie, cavitate, articular, durere, difuz, senzație, de, tensiune, rigiditate, articulara, Tumefiere, avea, articulațlua, sensibilitate"""
Hematomielia,"""durere, de, membru, paralizie, tetraplegie, tulburare, al, sensibilitate, termic, dureros, musculatură, membră, respiratoriu, afectare, nucleu, nerv, frenic, Horner, mioză, ptoză, hemifacies, ochi, șoc, focal, hemoragie, dural, măduvă, medular"""
Hematomul epidural,"""de, sânge, epidural, coloană, spinal, intende, creier, inconștiență, cunoștință, declin, greața, vărsătură, neurologic, focal, afazie, slăbiciune, muscular, parestezie, durere, iradiere, hematom, disfuncție, vezică, urinar, intestin, Bradicardie, hipertensiune, arterial, tensiune, cap, Hemotimpanum, timpan, Instabilitate, vertebral, Anizocorie, pupă, dilatare, ipsilateral, leziune, nerv, faciali, Hemipareză, contralateral, Ataxie, tulburare, coordonare, Deficit, senzorial, tonus, sfincter, anal"""
Hematomul esofagian,"""durere, sever, epigastric, iradiere, cu, de, deglutiție, disfagie, perforație, hematemeză, vărsătură, sânge"""
Hematomul extradural,"""agitație, modificare, pupilar, midriază, bilateral, tulburare, de, confuzie, neurologic, psihomotoriu, stupoare, comă, vegetativ, profundă, Comă, profund"""
Hematomul intraparenchimatos,"""traumatism, hemiplegi, tulburare, de, focar, hipertensiune, limbaj, sensibilitate, psihic, hemianopsi, alterare, profundă, coma, vegetativ, afectare, al, trunchi, cerebral"""
Hematomul subdural,"""Criză, convulsiv, modificare, pupilar, Pareză, nerv, cranian, Afazia, comă, cerebral, hemiplegie, controlateral, Midriază"""
Hematospermie,"""sânge, scurgere, durere, la, nicturie, simptom, urinar, obstructiv, hematurie"""
Hematuria,"""urină, ochi, liber, arsură, ITU, dificultate, HBP"""
Hemicrania cronica paroxistica (sindromul Sjaastad),"""unilateral, durere, sever, zonă, oculotemporal, ureche, atac, conjunctival, ochi, congestie, nazal, edem, al, pleoapă, sfâșietor, senzație, de, trepidație, ipsilateral, braț, gât, Mioză, generalizat"""
Hemipareza spastică,"""deficit, motor, unilateral, Spasticitate, mușchi, Hipertonie, mișcare, involuntar, musculatură, mână, picior, membru, inferior, membră, congenitală, atrofie, manifestare, ocular, strabism, hemianopsie, optic, Afectare, senzorial, criză, parțial, Retard, mental, tulburare, de, vorbire, Hemipareză, tip, flasc, Paralizie, central, nerv, facial, Afazie"""
Hemocromatoza,"""fatigabilitate, sever, bronzare, piele, diabet, ciroza, cardiomiopati, aritmie, cardiomiopatie, insuficiență, cardiac, hipogonadis, artropati, falangă, osteofită, hipotiroidism, hepatomegali, sensibilitată, hipocondru, drept, ciroză, durere, articular, articulație, interfalangian, intervertebral, lombar, gleznă, metacarpian"""
Hemofilia de tip A,"""Hemoragie, traumatism, minor, sângerare, cu, sediu, profund, Hematom, intramuscular, superficial, psoas, articulație, genunchi, maleolă, coate, șold, Sângerare, plăgă, Hemoragiu, Tăiet, Hematurie, sever, digestiv, al, organ, de, simț, ureche, intern, cerebral, intervenție, leziune, peteșial"""
Hemofilia de tip B,"""Sângerare, Hemoragiu, exteriorizat, Hematom, visceral, Compresiune, Hemoragie, meningocerebral"""
Hemoglobinuria paroxistică nocturnă,"""insuficiență, Paloare, Fatigabilita, Tromboză, Tromboza, venă, hepatic, Sindrom, Budd-Chiari, mezenteric, splenic, sinusure, sagital, cavernos, venos, profunda, Trombembolis, pulmonar, sindrom, durere, abdominal, tromboză, cranian, Distonie, Spas, Disfagie, disfuncție, erectil, renal, cronic, hipertensiune, Pancitopenie"""
Hemoragia (metroragia) în sarcină,"""Metroragie, sângerare, cheag, de, sânge, durere, abdominal, placentă, praevie, ruptură, uterin, sarcină, ectopic, Hipertonie, atonie/hipotonie, anemie, paloare, tahicardie, vertij, astenie, șoc, hemoragic, hipotensiune, arterial, lipotime, transpirat, extremitate, anxietate, cord, fetal, violentă, vaginal, insuficiență, cardiac, respiratoriu, embolie, amniotic, turgescent, Cianoză, generalizat, moarte, lapte, risc, scurgere, rigiditate"""
Hemoragia digestiva superioara (hematemeza),"""vărsătură, sânge, roșu, Paloare, anxietate, persistent, hipotensiune, arterial, Slăbiciune, Dispepsie, hemoragiu, masiv, Anemie, cronică, recidivant, uremie, șoc, hipovolemic, ciroză, tulburare, de, febră, Purpură"""
Hemoragia in post-partum,"""sângerare, operație, cezarian, Hemoragie, hemoragie, post-partum, Hipovolemie, sever, sânge, cavitate, uterin, ombilic, paravaginal, subperitoneal, roșu, venos, atonie, placentă, tulburare, de, coagulare, cu, cheag, gelatinos"""
Hemoragia intracerebrala,"""durere, de, cap, vertij, Greț, vărsătură, emeză, vomă, coma, hemoragie, Dizartrie, Ataxie, tip, cerebeloate, Disfagie, cefalee, senzație, slăbiciune, membru, inferior, neregularitate, puls, tulburare, cerebelos, ochi, hematom, ggl., Afazie, bazal, Hemipareză, controlateral, Pupe, pontină, Respiratie, hemoragiu"""
Hemoragia intracerebrala asociata abuzului de droguri,
Hemoragia intracerebrala lobara,"""hemoragie, occipital, Afazie, afectare, lob, temporal, dominant, temporal/parietal, nedominant, deficit, senzitiv, hemicorporeal, parietal, frontal, vărsătură, Somnolență, Criză, epileptic, Comă, masiv"""
Hemoragia intracraniana la nou-nascut,"""Detresă, respiratoriu, sever, letargi, focal, coma, Bombare, fontanea, somnolență, excesiv, instabilitate, termic, Paloare, Deviație, ocular, Afectare, respirație, rigiditate, Bradicardie, compresiune, trunchi, cerebral"""
Hemoragia subarahnoidiana,"""Sindro, meningeal, Paralizie, de, nerv, dilatar, pupilară, pierdere, reflex, fotomotor, durere, anevrism, retroorbitar, tâmplă, teritoriu, arteră, cerebral, sinus, cavernos, cerebelos, postero-inferioare, antero-inferior, comă, vărsătură, cefalee, defici, neurologic, deficit, hidrocefalie, acut, somnolență, subacut, Incontinență, cronică, cronic, mental, abulie, ischemie, tardiv, Hemipareză, controlateral, vasospasm, anterior, defect, câmp, vizual, tip, hemianopsic, posterioare"""
Hemoragii digestive la nou-născut și copil,"""vărsătură, cu, sânge, roșu, hemoragie, ocultă, oboseală, șoc, hipovolemic, durere, abdominal, febră, infecție, sanguinolent, obstrucție, intestinal, fisură, perianal, Eroziune, cutanat, sensibilitată, erite, palmar, vascular, Purpură, leziune, mucoasă, Ulcerație, al, oral, nodos, gangrenosum"""
Hemoragii intracraniene din encefalopatia hipertensiva,"""occipital, Retinopatie, edem, papilar, Cecitate, tranzitorie, greața, vărsătură, confuzie, Tinitune, coma"""
Hemoragii intracraniene in tumori cerebrale,"""Hemoragia, tumoare, malign"""
Hemoragii uterine disfunctionale,"""Hemoragiu, uterin, anormal, anomalie, structural, Sângerare, menstruație, metroragie"""
Hemoragiile digestive inferioare,"""sânge, roșu, Rectoragi, Anemie, cronică, hemoragiu, șoc, hemodinamic, masiv, infecțios, durere, abdominal, colică, crampă, feriprivă, sindrom, paraneoplazic, colită, sever, boală, Dispnee, tensiune, arterial"""
Hemoragiile intracraniene asociate cu medicatia antitrombotica,
Hemoragiile intracraniene din bolile de sange,"""Sângerare, parenchim, cerebral, Hemoragie, cerebeloate, Hematom, spinal, epidural, Hemoragiu, multifocal, peteșial, alb, Anemie, hemolitic, microangiopatic, purpură, trombotic, trombocitopenic, afectare, renal, Tromboză, venos, trombocitemie, CID"""
Hemoragiile intracraniene din traumatisme craniene,"""hemipareza, coma, hematoamă"""
Hemoragiile vitreene,"""acuitate, vizual, Încețoșare, vedere, pană, mișcare, ochi, hemoragie, vitrean, lipsă, roșu, pupilar, Opacitate, hemoragic"""
Hemoroizi,"""sângerare, rectal, durere, perianal, tromboză, prolaps, scurgere, de, mucus, Iritație, acut, extern, piele, Spasm, complex, sfincterian, senzație, evacuare"""
Hemoroizii interni,"""sângerare, rectal, nedureros, iritație, al, piele, pruri, sânge, durere, senzație, de, arsură, anal, hemoroid"""
Hemosideroza pulmonară idiopatică,"""hemoragie, alveolar, hipocromă, hiposideremic, sever, afectare, pulmona, Fatigabilita, Afectare, Paloare, deget, hipocratic, Reticulocitoză, hemoragiu, alveolare, hemosiderină, disfuncție, ventilatorie, de, tip, fibroză"""
Hemotorax,"""anomalie, al, ventilație, oxigenare, Echimoză, toracic, durere, Instabilitate, perete, deformare, torace, zgomot, auscultație, hemoragie, acut, anemie, ocultă, Matita"""
Hepatita A,"""inflamație, ficat, oboseală, Fatigabilitate, durere, gastric, greața, vărsătură, Anorexie, poftă, de, mâncare, hipocondru, drept, febră, Crampă, muscular, articulare, erupție, cutanat, cap, Icter, îngălbenire, piele, alb, urină, bilirubinurie"""
Hepatita alcoolica,"""febră, ficat, Coagulopatie, tulburare, de, coagulare, hipertensiune, portal, hemoragiu, variceal, Anorexie, greața, durere, abdominal, vărsătură, encefalopatie, hepatic, Comă, insuficiență, Sângerare, al, varică, esofagian, alcaloză, respiratoriu, Urinobilie, bilirubinurie, Ede, periferic, mușchi, proximal, confuzie, memorie, Ginecomastie, testiculara, Encefalopatia, Wernicke, afectare, cerebral, psihoză, Neuropatie, glandă, parotid, malnutriție, Anemie, macrocitoză, Trombocitopenie, transaminază, TGO, TGP, GGT, Hiperbilirubinemie, mix, C"""
Hepatita autoimuna,"""febra, disfuncție, hepatic, sever, durere, hipocondru, drept, Trombocitopenie, Astenie, Anorexie, de, tip, pleuritic, tegumentare, encefalopatie"""
Hepatita B,"""Anorexie, greața, vărsătură, emeză, vomă, febră, durere, muscular, Fatigabilitate, oboseală, encefalopatie, hepatic, somnolență, Disfuncție, al, ciclu, confuzie, coma, hipocondru, drept, ficat, îngălbenire, piele, ochi, Splenomegalie, splină, eritem, palmar, sângerare, variceal, esofagian, edem, periferic, membră, Ginecomastie, testiculara, colaterală, venos, abdominal, manifestare, extradigestiv, boală, ser, panarterită, nodos, crioglobulinemie, acrodermatită, papulos, Leucopenie, protrombină, bilirubină, Urobilinogen, icter, urină"""
Hepatita B la copii,"""durere, articulare, cutanat, Vasculită, generalizat, Astenie, oboseală, senzație, de, sfârșeală, Anorexie, Inapetență, Greț, vărsătură, abdominal, hipocondru, Constipație, Disfagie, Icter, tegumentar, Adenopatie, Paloare, îmucoasa, erite, palmo-plantar, vascular, pruri, Anemie, hemoleucogramă, Leucopenie, sindrom, colestază, fosfatază, alcalin, bilirubină, citolitic, hepatită, globulină, protrombină, biliar, urină"""
Hepatita C,"""Fatigabilita, Anorexie, greața, vărsătură, Icter, tegumentar, scleral, urină, bilirubinurie, scaun, hipocolic, sensibilitată, hipocondru, drept, durere, muscular, erite, palmar, Cianoza, Ginecomastie, paraombilicala, testiculara, edem, gleznă"""
Hepatita C la copii,"""Astenie, Icter, Fatigabilita, senzație, de, sfârșeală, Anorexie, Inapetență, Disfagie, Greț, vărsătură, Constipație, Meteoris, durere, abdominal, hipocondru, drept, leziune, vasculită, Purpură, trombocitopenic, idiopatic, Fibroză, pulmonar, febră, Ulcerație, cornean, Adenopatie, erite, palmo-plantar, Paloare, îmucoasa, vascular"""
Hepatita D,"""Anorexie, oboseală, febră, durere, hipocondru, urină, boală, asimptomatic, personalitate, tulburare, al, somn, Icter, abdominal, drept, encefalopatie, hepatic, coagulopatie"""
Hepatita E,"""tulburare, gastro-intestinal, sindrom, dispeptic, greață, vărsătură, inapetență, gripal, durere, în, gât, congestie, nazal, asteni, erupție, urticarian, anorexi, abdominal, drept, scaun, acolic, icteri, pruri, tegumentar, fatigabilita, pancreatită, meteorism, febră, transpirat, rece, tahicardie, agitație, căldură, eritem, tumefiere, local, oligurie, hematurie, edem, periferic, flanc, astenie, stare, general, hepatomegalie, sensibil, oboseală, excesiv, sângerare, echimoză, peteșie, gingivoragiu, menstrual"""
Hepatita neonatală cu Citomegalovirus,"""scaun, acolic, pneumonie, ușor, stagnare, ponderal, Icter, sclerotegumentărea, Anemie, hemolitic, Trombocitopenie, neutropenie, Limfopenie, limfocitoza, Proteinorahie"""
Hepatocarcinomul fibrolamelar,"""durere, abdominal, senzație, de, plenitudine, greață, anorexi, hepatomegali, hipocondru, drept, hepatomegalie, formațiune, icteri, encefalopatie, tromboflebita, membră, inferior, tromboflebită, migratoriu, hipoglicemie, tromboză, venos, profunda, recurent, ginecomastie, sindro, obstrucție, parțial, venă, hepatic, boală, veno-ocluziv, ficatu, insuficiență, fulminant"""
Hepatomegalia (Hipertrofia hepatică),"""ficat, ciroză, tumoare, benign, biliar, metastază, benigne, sta, venos, mișcare, hipertensiune, portal, malign, abces, hepatic, stază, voluminoasă, senzație, de, elasticitate, lob, drept, febră, insuficiență, global, Consistență, vascular, reflux, hepato-jugular, cardiac"""
Hepatopatia cronică,"""urină, durere, abdominal, greață, vărsătură, slăbiciune, sângerare, oboseala, icteri, encefalopatie, hepatic, Afectare, Somnolență, confuzie, dezorientare, comă, tulburare, neurologic, infecție, Sângerare, gastrointestinal"""
Hepatopatia toxică,"""insuficiență, hepatic, febră, artralgie, hipereozinofilie, icteri, pruri, colestază, hiperbilirubinemi, durere, abdominal, drept, hepatomegali, encefalopatie"""
Hermafroditismul (intersexualitatea),"""testic, organ, genital, extern, intern, orifici, vaginal, pigmentație, sindrom, adrenogenital, virilizare, sever, hiperplazie, adrenal, Turner, disgenezie, pur, gonadal, Clitoromegalie, ambiguitate"""
Hernia congenitală diafragmatică,"""sindrom, Detresă, respiratorie, Zgomotă, cardiac, hernie, stâng, Hipoplazie, pulmona, Hipertensiune, mediastin, Hidrops, fetal"""
Hernia de disc cervicala,"""durere, local, disc, bolnav, discopatie, rădăcină, nervos, radiculopatie, Parestezie, sensibilitate, cervical, intratabil, invalidant, sindrom, de, insuficiență, circulatoriu, vertebro-bazilar, afectare"""
Hernia de disc lombara,"""durere, de, tip, nevralgic, iritație, Parestezie, amorțeală, reflex, osteotendinoate, Pareză, slăbiciune, Paralizie, Lombosciatic, regiune, membru, inferior, coaapsă, gambă, important, lombar, Sciatică, alternant, bilateral, sever, sindrom, coadă, cal"""
Hernia de disc vertebral,"""durere, lombar, picior, sciatică, coapde, Parestezie, slăbiciune, Amorțeală, de, tip, mecanic, inflamator, hernie, cervical, reflexă, osteo-tendinos, Spasmă, muscular"""
Hernia diafragmatica,"""cord, zgomot, Zgomotă, hidroaeric, Detresă, respiratoriu, Cianoză, obstrucție, intestinal, durere, Fatigabilitate, senzație, de, plenitudine, strangular, congenital, Simptomatologie, digestiv, hern, Dispnee, câștigate/descoperi, strangulare, disfuncție, respiratorie, depresie, circulatorie, compromitere, cardiace"""
Hernia femurală,"""durere, regiune, femural, tumefiere, vărsătură"""
Hernia hiatala,"""durere, toracica, arsură, Regurgitație, acid, gastric, cavitate, bucal, greața, Vărsătură, Criză, de, astm, Disfagie, senzație, compresiune, sinuzită, auditiv, otită, gastro-intestinal, hernie"""
Hernia inghinala,"""durere, senzație, de, apăsare, inghinala, musculatură, abdominal, intensă, localiza, hernie, strangulat, Hernia, eritem, tegument, supraiacent, incarcerat, congestie, venos, obstrucție, intestinal, lumen, visceral, inghinal, cronic, inghinodinie, genital, disfuncție, erectil, tulburare, ejaculare"""
Hernia inghinală la copii,"""Proeminență, canal, inghinal, scrot, durere, Iritabilitate, ocluzie, intestinal, distensie, abdominal, vărsătură, bilios, febră, senzație, deget"""
Hernia ombilicala,"""orificiu, ombilical, durere, senzație, de, tragere, presiune, greața, vărsătură, mușchi, abdominal, piele, hernie, necroză, Dermatită, herniar, local, Colorație"""
Hernia pulmonară,"""toracic, durere, localizat, toracica/cervical, Dispnee, respirație, reductibila, Crepitație, tumoral, Echimoză"""
Hernia Spiegel,"""perete, abdominal, semilunar, durere, arsură, Balonare, senzație, de, umflare, simptom, gastrointestinal, greață, vărsătură, tulburare, digestiv, intestin, slăbiciune, mușchi, hernie, sever, complicație, Umflăt, febră"""
Hernia strangulata,"""distensie, dureros, hernlua, Hernie, ireductibil, perete, abdominal, greața, vărsătură, gaz, durere, viu, pedicul, sensibilitată, crescut, tumor, herniar, deshidratare, coaapsă, hernie, obturatorie, ocluzie"""
Hernie de disc,"""durere, Exacerbare, la, manevră, Valsalva, coloană, vertebral, dermatomala, Pareză, segmental, atrofie, al, reflexă, disfuncție, sfincterian, hernie, de, disc, lombar, gât, cervicală, senzație, arsură, braț, mână, Sciatic, picior, talpă, picioare, compresie, măduvă, cervical, Șoc, electric, coordonare, proast, spasmă, Mielopatie, afectare, Parapareză, mielopatie, tulburare, senzorial, compromitere, respiratoriu"""
Herniile peretelui abdominal,"""durere, viu, regiune, herniar, sindrom, de, ocluzie, intestinal, vărsătură, Meteorism, abdominal, tumoral, hernie, ombilical"""
Herpangina (angina herpetiformă),"""Ulcerație, febră, durere, gât, glandă, limfatic, muscular, Disfagie, dificultate, Inapetență, Hipersalivație, vărsătură, ulcerație, hiperemic, deshidratare, uscăciune, mucoasă, xeroftalmie, fatigabilitate, urină, enoftalmie"""
Herpes zoster oticus,"""Otalgie, sever, erupție, vezicular, cutanat, canal, auditiv, Paralizie, facil, sindrom, Ramsey, Hunt, durere, greața, vărsătură, Surditate, oculara, ochi, iritare, cornee, Nevralgie, postherpetic, intens, sensibilitate, Alodinie, funcție, autonom"""
Herpesul genital,"""durere, muscular, spate, coapsă, senzație, de, arsură, veziculă, leziune, ulcerativ, superficial, Jenă, dureros, vulvare, poftă, mâncare, herpetic, Ulcerație"""
Herpesul gestational (pemfigoidul),"""pruritic, sever, mâncărime, intens, erupție, bulos, generalizat, vezicula, leziune, urticarian, piele, palmă, afectare, rar, gât, mucoasă"""
Herpesul palpebral,"""senzație, de, arsură, edem, al, tegument, leziune, vezicular, veziculă, ulcerație"""
Hidatidoza (Boala hidatică," Echinococoza),""balonare, abdominal, slăbiciune, oboseala, icteri"""
Cancer de piele non-melanom,"""leziune, cutanat, Tumefacție, piele, porțiune, scuamă, crustă, margine, sânge, telangiectazie, carcinom, bazocelular, zonă, depigmentat, rugos, descuamare, sângerare, Papulă, ulcerație, traumatizare, nepruriginos, rozie, scuamocelular"""
Cancerul de prostata,"""Polakiurie, Disurie, dureros, retenție, de, urină, sânge, durere, tumoare, senzație, corp, rectal, tip, sciatic, metastază, vertebral, Paraplegie, edem, al, scrot, membru, inferior, adenopatie, regional, examen, digital, formațiune, ampulă, perete, osos, pelvis"""
Cancerul de sân,"""deformare, areolă, mamelon, retracție"""
Cancerul de sân la bărbat,"""Nod, nedureros, țesut, regiune, subareolar, mamelon, sâ, leziune"""
Cancerul esofagian,"""Disfagie, durere, la, înghițire, vărsătură, cu, sânge, hematemeză, hemoptizie, senzație, de, arsură, epigastric, cronic, retrosternal, răguși, Paralizie, corze, vocal, invazie, nerv, laringian, frenic, diafragm, metastazare, sistemic, osos, sindrom, Horner, ptoză, palpebral, tumefiere, confuzie, metastază, cerebral, Convulsie, Hemoragie, intestinal, diseminare, Anemie, feriprivă"""
Cancerul gastric,"""Dispepsie, ulcer, peptic, senzație, de, sațietate, vărsăt, cu, sânge, Anemie, secundar, sângerare, durere, epigastric, atipic, cancer, Greț, vărsătură, acut, antiacid, sindrom, ulceros, dispeptic, arsură, tulburare, tranzit, constipație, Disfagie, cardio-tuberozitar, gastric, antral, Adenopatie, supraclavicular, stâng, axilar, stânga, prerectal, metastază, Pleurezie, ovarian, Paloare, galben-teros, slăbiciune, Hemoragie, digestiv, Sindrom, paraneoplazic, trousseau, osteoartropatie, nefrotic, keratoză, verucos, pruriginos, stare, confuziv, comportament, Cushing, feriprivă, pepsinogen, gastrină, seric, Aclorhidrie, histamino-refractar"""
Cancerul glandelor salivare,"""unilateral, regiune, preauricular, Asimetrie, gât, Paralizie, mușchi, facial, nervul, slăbiciune, durere, persistent, antalgic, Disfagie, Tumefacție, nedureros, gland, minor, Disfonie, Stridor, laringian, obstrucție, nazal, cancer, imobil, Infiltrare, piele, cervical"""
Cancerul glandelor suprarenale (carcinomul suprarenal),"""durere, senzație, de, plenitudine, poftă, Subfebrilita, edem, palpebral, rotund, roșeață, abdomen, hipertensiune, arterial, Cushing, aldosteron, Sindrom, voce, glandă, mamar, organ, genital, Menstruație, slăbiciune, membru, inferior, crampă, muscular, țesut, menstruație, Pilozitate, excesiv, alopecie"""
Cancerul hepatic - Hepatocarcinomul,"""nespecific, Fatigabilita, durere, abdominal, Anorexie, hipocondru, drept, cavitate, hemoragie, tract, digestiv, Icter, scleral, alb, tegumentar, piele, urină, ficat, Trombocitopenie, ascită, creatinină, hipoglicemie, Bilirubinemie, Fosfatază, serumalbumină, ciroză"""
Cancerul labial (buze),"""buză, Eroziune, de, ulcerație, persistent, Semimucoasă, uscat, fisurat, Infiltrare, discret, țesut, nodular, leziune, Leucoplazie, durere, local, Parestezie, furnicăt, mucoasă, limfatic, mandibular"""
Cancer ovarian,"""balonare, de, plenitudine, sângerare, tumoare, activ, ovariană, funcțional, metastază, uterină, celulă, malign"""
Cancerul limbii,"""limbi, tulburare, de, vorbire, deglutiție, disfagie, durere, nerv, hipoglos, regiune, auricular, Limfadenopatie, regională/cervical, Odinofagie, Disfonie, voce, răgușit, dificultate, articulare, cuvânt, Asimetrie, glandă, submandibular, Adenopatie, dureros, necroză, adenopatie, respiratoriu, malnutriție, voc, anatomie, cale, Leucoplakia, placă, alb, mucoasă, leziune, premalign, oral, premalignă/semn"""
Cancerul mamar,
Cancerul mamar în sarcină,"""nod, nedureros, ulcerație, mamelonar, retracție, de, afectare, limfatic"""
Cancerul nazal,"""Obstrucție, nazal, congestie, sangvinopurulent, fetidă, nas, faringe, durere, periorbital, tulburare, olfactiv, auz, dificultate, vorbire, Parestezie, facial, Paralizie, nerv, cranian, Tumefacție, facil, de, vedere, Inapetență, oboseală, Astenie, tumoral, Limfadenopatie"""
Cancerul osos,"""durere, osos"""
Cancerul ovarian cu mutație BRCA,
Cancerul pancreasului endocrin-Somatostatinomul,"""hipoclorhidrie, aclorhidrie, diabe, coledocolitiaza, hipoglicemie, greață, vărsătură, emeză, vomă, anorexi, durere, icter, obstrucție, duodenal, hemoragie, intestinal"""
Cancerul pancreasului exocrin,"""durere, abdominal, intermitent, piele, scleră, mâncărime, urină, scaune, decolora, Maldigestie, diabet, secundar, oboseală, astenie, poliurie, polidipsie, anorexie, somnolență, Subfebrilita, leziune, de, grataj, zgâriet, prurit, Veziculă, ficat"""
Vipomul (Sindromul WDHA),"""diaree, apos, sever, Aclorhidrie, Hipoclorhidrie, Hiperglicemi, bufeu, sânge, letargi, slăbiciune, vărsătură, emeză, vomă, Crampă, abdominal, Depleție, volumica, Acidoza, muscular, piele, Iritație, anal"""
Cancerul bronhopulmonar,"""Dispnee, Expectorație, cu, sânge, hemoptizie, durere, precordial, dificultate, febra, greață, metastază, cerebral, tulburare, vizual, hormonal, sindrom, paraneoplazic"""
Cancerul peritoneal primitiv,"""durere, obstrucție, intestinal, disfagie, tulburare, al, febra, abdominal, anorexi, slăbiciune, greață, trombocitoza, flebita, emboli, coagulare, esofageala, amiloidoza, secundar, dermatomiozita, dispnee, sever, trombocitopenie, hemangiom, peritoneal, coagulopatie, hemoragiu, digestiv, cronic"""
