Disease,Recommendations
Paralizia Bell (paralizia facială idiopatică),"Corticoterapie administrată precoce (în primele 72 ore). Tratament antiviral (în monoterapie sau în combinație cu corticosteroizi, în special în cazuri severe). Protecția oculară (utilizarea de picături oftalmice, ocluzia ochiului pe timpul nopții). Supraveghere medicală atentă. Decompresia chirurgicală a nervului facial (în cazuri selectate: paralizie completă, degenerare axonală > 90%, lipsa răspunsului la tratament medicamentos, în primele 14 zile). Kinetoterapie facială (nu este menționată explicit, dar este o recomandare frecventă)."
Paralizia de corzi vocale,"Repaus vocal (în cazuri de inflamație). Chirurgie de medializare temporară sau permanentă a corzilor vocale. Injectare endoscopică temporară de material. Injectare endoscopică permanentă sau semipermanentă de material (grasime, hidroxiapatită de calciu). Laringoplastie de medializare (Tiroplastie). Adducție aritenoidă. Aritenopexie. Inserția chirurgicală de implanturi (silicon, gore-tex). Terapie vocală (logopedie). Tratamentul afecțiunilor concomitente (reflux gastroesofagian, boală alergică sinonazală)."
Paralizia diafragmatica,"Monitorizare (pentru cazurile unilaterale asimptomatice). Tratarea cauzei de bază (dacă este identificată și tratabilă). Plicatura diafragmatică chirurgicală (pentru cazuri unilaterale simptomatice selectate sau la nou-născuți după leziuni intraoperatorii). Ventilație noninvazivă cu presiune pozitivă (VNIPP) (tratament de elecție pentru paralizia bilaterală simptomatică). Ventilație cu presiune negativă (mai puțin utilizată, necesită studii de somn). Pacing diafragmatic (stimulare electrică a nervului frenic, dacă nervii sunt intacți și nu există miopatie semnificativă). Traheostomă cu ventilație mecanică (pentru cazuri severe bilaterale care nu răspund la VNIPP sau în cvadriplegie înaltă). Ventilație mecanică în maniera CPAP pe sondă nazotraheală (inițial la nou-născuții peste 3 luni cu leziuni postoperatorii). Reconstrucția nervului frenic (cu grefă nervoasă sau reanastomozare termino-terminală, în cazuri selectate de secționare)."
Paralizia nervilor oculomotori,"Suprimarea cauzei. Tratament cauzal (specific bolii de bază). Tratament de susținere. Fizioterapie. Tratamentul infecțiilor (dacă este cazul). Tratamentul intoxicațiilor (dacă este cazul). Tratamentul sifilisului (dacă este cazul). Ablația tumorilor (intervenție chirurgicală, dacă este cazul)."
Paralizia nervul glosofaringian,
Paralizia nervului abducens (VI),Tratarea cauzei subiacente (dacă este reversibilă). Măsuri conservatoare. Prescrierea de ochelari de vedere (ex. cu prisme) pentru atenuarea diplopiei. Utilizarea de plasturi oculari pentru a gestiona simptomele. Intervenții chirurgicale pentru corectarea alinierii oculare. Reabilitare vizuală (inclusiv terapia vederii și exerciții pentru îmbunătățirea coordonării oculare). Grupuri de sprijin și consiliere.
Paralizia nervului facial,"Tratament fizioterapeutic. Masarea mușchilor paretici. Fixarea unei atele care să împiedice căderea părții inferioare a feței. Protecția ochiului în timpul somnului. Unde ultrascurte (în primele 10 zile). Ionizări transauriculare cu iodură de potasiu 2% (după 10 zile). Tarsorafie (în caz de lagoftalmie severă). Măsuri pentru a împiedica uscarea ochiului (ex. lacrimi artificiale). Tratamentul cauzal (antiinfecțios, radioterapie, chirurgie tumorală etc.). Radioterapie (pentru anumite tumori). Terapie chirurgicală (pentru tumori, traumatisme). Anastomoza facialului cu nervul hipoglos (în caz de secționare nervoasă)."
Paralizia nervului hipoglos,
Paralizia nervului trigemen,Tratament medicamentos similar cu cel al nevralgiei trigeminale.
Paralizia nervului vag,
Paralizia în timpul somnului,Asigurarea unui somn suficient (7-8 ore pe noapte pentru adulți). Reducerea situațiilor stresante din viața cotidiană. Adoptarea altor poziții de somn (evitarea dormitului pe spate). Evitarea meselor hipercalorice înainte de culcare. Reducerea accentuării sau precipitării unor afecțiuni psihice preexistente. Evitarea sau stoparea consumului de droguri. Adresarea la medicul specialist dacă afecțiunea este recurentă.
Paralizia supranucleara progresiva,"Administrarea de L-dopa (răspuns limitat). Utilizarea preparatelor dopaminergice pentru reducerea rigidității și bradikineziei. Utilizarea anticolinergicelor (ca trihexifenidil) pentru ameliorarea vorbirii, mersului și afectului pseudobulbar. Utilizarea amitriptilinei pentru ameliorarea vorbirii, mersului și afectului pseudobulbar."
Paraliziile cerebrale la copil,"Tratament simptomatic. Tratament neuro-recuperator. Fizioterapie. Gimnastică medicală. Logopedie (pentru ameliorarea comunicării verbale). Tratament ortopedic (pentru malformații și complicații). Tratament chirurgical (pentru malformații și complicații). Tratament neurochirurgical (pentru malformații). Reeducare neuro-motorie susținută. Kinetoterapie. Alimentație prin sondă (în cazuri severe, ex: Tetrapareză). Implicarea familiei în terapie."
Paraliziile periodice familiale,Educarea pacientului cu privire la modificarea stilului de viață. Evitarea factorilor declanșatori ai episoadelor de paralizie. Exerciții fizice ușoare (în timpul crizei hipo/hiperkaliemice). Administrarea de carbohidrați (în timpul crizei hiperkaliemice). Evitarea deshidratării. Evitarea hiperglicemiei. Evitarea dietei bogate în sodiu.
Paranoia,"Psihoterapie (tratament de elecție). Terapie individuală (a se evita terapia de grup). Abordare cu un psihoterapeut experimentat. Construirea unei alianțe terapeutice (empatie, validare, necontrazicere). Evitarea creării de noi suspiciuni (transparență din partea terapeutului). Ajutarea pacientului să-și mențină simțul controlului (respectarea autonomiei). Încurajarea verbalizării mâniei în loc de acțiuni violente. Asigurarea unui spațiu terapeutic adecvat (deschis, luminos, distanță fizică). Evitarea atingerii fizice a pacientului de către terapeut."
Paraplegia spastica ereditara,Terapie fizica regulata (fizioterapie). Mentenanta si ameliorarea miscarilor si a puterii musculare. Mentinerea conditiei aerobe a sistemului cardiovascular. Regim de exercitii fizice (efectuate de cel putin citeva ori in fiecare saptamina). Exercitii pentru mentinerea/ameliorarea puterii musculare. Exercitii pentru minimalizarea atrofiei musculare determinata de lipsa folosirii. Exercitii pentru cresterea andurantei. Exercitii pentru reducerea oboselii. Exercitii pentru prevenirea spasmelor si crampelor. Exercitii pentru mentinerea sau ameliorarea reflexelor. Utilizarea dispozitivelor ajutatoare la mers. Utilizarea scaunelor cu rotile (când este necesar).
Paraplegia spastica familiala sau boala Strumpell-Lorrain,Evitarea surmenajului. Evitarea exceselor alcoolice. Băi (pentru scăderea hipertoniei). Ionizări transcerebromedulare cu calciu (pentru scăderea hipertoniei). Tratamente operatorii (ex. tenotomii). Utilizarea încălțămintei ortopedice.
Parapsoriazis,"Tratament conservator (în funcție de simptome). Tratament topic. Ameliorarea simptomelor asociate cu uscăciunea pielii (în special pentru parapsoriazisul în plăci mici). Fototerapie cu UV-B cu bandă îngustă sau largă. Fototerapie PUVA (Psoralen + UVA). Supraveghere anuală (pentru parapsoriazisul în plăci mici). Repetarea biopsiei la creșterea numărului/dimensiunii leziunilor, dezvoltarea indurației sau atrofiei epidermice (pentru parapsoriazisul în plăci mici). Tratament obligatoriu pentru parapsoriazisul în plăci mari (pentru a preveni progresia la limfom cutanat cu celule T). Urmărire medicală la fiecare 2-3 luni în timpul tratamentului topic (pentru parapsoriazisul în plăci mari). Urmărire medicală lunară sau la fiecare 8-10 vizite în timpul fototerapiei (pentru parapsoriazisul în plăci mari). Supraveghere atentă și frecventă (pentru parapsoriazisul în plăci mari). Urmărire medicală la fiecare 6 luni după tratament sau în caz de remisiune/fără tratament (pentru parapsoriazisul în plăci mari). Biopsie promptă la creșterea numărului/dimensiunii leziunilor, apariția atrofiei sau indurației (pentru parapsoriazisul în plăci mari). Administrarea fototerapiei de 2-3 ori pe săptămână timp de câteva luni până la dispariția leziunilor (pentru parapsoriazisul în plăci mari). Diminuarea progresivă a frecvenței fototerapiei după ameliorare (pentru parapsoriazisul în plăci mari). Evitarea chimioterapiei topice (mecloretamică, carmustină) datorită toxicităților."
Parasomniile,"Tratarea tulburărilor medicale sau psihiatrice subiacente. Managementul stresului. Evitarea consumului de alcool și droguri. Asigurarea unui program de somn regulat și suficient (igiena somnului). Evitarea deprivării cronice de somn. Educația pacientului și a familiei despre tulburare. Psihoterapie (în special pentru spaimele nocturne la adulți). Tehnici de relaxare. Măsuri de siguranță în dormitor și casă (înlăturarea obiectelor periculoase, închiderea ușilor/ferestrelor, alarme - pentru somnambulism). Trezirea preventivă a copilului înainte de ora obișnuită a episodului (pentru spaime nocturne frecvente). Atele dentare (pentru bruxism). Exerciții de întindere a mușchilor picioarelor (pentru sindromul picioarelor neliniștite). Evitarea cafeinei, alcoolului sau antidepresivelor (pot agrava mișcările periodice ale membrelor). Polisomnografie pentru diagnostic diferențial și confirmare."
Parazitozele intestinale,"Tratamentul medicamentos se face doar cu recomandarea doctorului. Distrugerea si eliminarea parazitului. Eliminarea din organism a toxinelor rezultate in urma activitatii parazitului. Refacerea organelor interne si a mucoaselor afectate de parazit. Tratarea corecta a copilului bolnav. Tratarea celor din anturajul copilului bolnav (familie, colectivitate - cresa, gradinita, scoala), indiferent daca prezinta simptome sau nu. Masuri generale de igiena: curatenie, aerisirea incaperilor. Folosirerea de olite individuale si dezinfectia regulata a acestora si a toaletelor. Transportul, pastrarea si prepararea alimentelor in conditii de stricta igiena. Spalarea fructelor si zarzavaturilor inainte de consumare sau refrigerare. Spalarea lenjeriei de corp si pat a copiilor bolnavi prin fierbere si calcare. Igiena corporala: spalatul mainilor de cate ori este nevoie (obligatoriu inainte de fiecare masa). Taierea regulata a unghiilor. Repetarea examenului coproparazitologic (minim 3 examinari consecutive cu rezultat negativ la interval de 7-10 zile) pentru confirmarea vindecarii."
Paraziții intestinali,Respectarea măsurilor igieno-dietetice. Respectarea măsurilor de igienă corporală. Tăierea unghiilor (specific oxiurozei). Spălarea frecventă a mâinilor. Fierberea lenjeriei de corp și de pat (specific oxiurozei).
Parestezie,Tratarea cauzei subiacente (diagnostic corect). Mișcări de întindere și masaj al membrului afectat (pentru cauze poziționale). Terapie nutrițională (cu atenție la supradoza de vitamina B6). Evitarea consumului de alcool. Acupunctură. Masaj (inclusiv auto-masaj cu uleiuri aromatice). Purtarea de haine și încălțăminte largi.
Pareza facială,"Tratament specific etiologiei (cauzei subiacente). Explorare chirurgicală (în caz de secțiune nervoasă traumatică sau congenitală). Decompresie chirurgicală a nervului facial (în cazuri selectate de Paralizie Bell severă, Sindrom Melkersson-Rosenthal). Incizia membranei timpanice cu plasarea unui tub de drenaj (în otită/mastoidită). Mastoidectomie (în mastoidită). Excizie chirurgicală a colesteatomului sau a tumorilor. Reparație chirurgicală a nervului facial / Anastomoză nervoasă / Transfer nervos (în leziuni traumatice/iatrogene sau post-rezecție tumorală). Teste sangvine (pentru diagnostic etiologic). Computer tomograf (CT) cerebral sau de os temporal (pentru diagnostic). Rezonanță magnetică nucleară (RMN) cerebrală sau de unghi ponto-cerebelos (pentru diagnostic). Electromiografie (EMG) / Electroneurografie (ENG) (pentru evaluarea funcției nervoase și prognostic). Protecție oculară (lacrimi artificiale, unguente, ocluzia ochiului) în caz de lagoftalmie. Kinetoterapie / Fizioterapie facială (pentru recuperarea funcției musculare)."
Parkinson,"Ajustarea dozelor de medicamente pentru managementul efectelor secundare (fluctuații motorii, diskinezii). Tratamentul comorbidităților psihiatrice (demență, depresie, psihoză). Palidotomie (intervenție chirurgicală). Talamotomie (intervenție chirurgicală). Stimularea cerebrală profundă (DBS - Deep Brain Stimulation). Fizioterapie și recuperare (pentru flexibilitate, echilibru, independență). Terapie ocupațională (pentru menținerea vieții active). Psihoterapie (pentru acceptarea bolii și ameliorarea simptomelor psihiatrice). Management multidisciplinar al cazului. Consultații periodice la medicul specialist (neurolog) la fiecare 6-12 luni."
Parodontita apicală acută,"Tratarea factorului cauzal (de obicei, afectarea pulpară). Asigurarea drenajului inflamației. Drenaj endodontic (prin dinte, cu permeabilizarea canalelor radiculare). Incizie muco-periostală (pentru drenaj extern). Osteotomie transmaxilară (crearea unui orificiu prin maxilar). Extracția dintelui. Evitarea automedicației cu antibiotice."
Parodontita apicală acută purulentă,"deschiderea camerei pulpare a dintelui pentru drenaj. incizie la nivelul gingiei pentru drenaj suplimentar (sub anestezie locală, dacă este cazul). tratament endodontic al dintelui. rezecție apicală a dintelui. extracția dintelui. prezentarea de urgență la medicul dentist. evitarea alimentelor și lichidelor foarte reci sau fierbinți. evitarea alimentelor dure. mestecarea alimentelor pe partea contralaterală. menținerea igienei orale. periaj dentar cu o perie de dinți moale, mai ales în jurul dintelui afectat. nu se recomandă auto-administrarea de antibiotice. respectarea indicațiilor medicului dentist privind igiena orală (periaj corect, ață dentară, etc.). vizite regulate la medicul dentist."
Parodontitele apicale cronice,Tratament endodontic (tratament mecanic pe canal cu ace pentru golirea și curățarea canalului). Sterilizarea canalului radicular și a canaliculelor dentinare (prin tratament medicamentos local și agenți fizici). Sigilarea spațiului endodontic prin obturație de canal etanșă. Cauterizarea chimică sau electrică a canalului (în caz de persistență a secreției). Lăsarea dintelui deschis temporar (în caz de secreție abundentă). Tratamentul fistulelor (ex: prin aplicare de antiseptice). Intervenții chirurgicale conservatoare: chiretaj apical. Intervenții chirurgicale conservatoare: rezecție apicală. Intervenții chirurgicale conservatoare: radiculectomie (amputație radiculară). Extracția dintelui cauzal (în cazuri grave sau eșec terapeutic). Tratament endodontic doar dacă pulpa este afectată (în cazul parodontitei cu hipercementoză).
Parodontoza,Înlăturarea cauzelor inflamației (curățarea placilor dentare și tartrului). Detartraj (înlăturarea tartrului subgingival și a depozitelor de biofilm). Planare radiculară (înlăturarea tartrului mecanic de pe suprafețele dentare). Detersare cu freză electrică (pentru tartru durizat). Oxigenarea (periaj/spălare cu peroxid de hidrogen diluat). Eliberarea mecanică terapeutică a peroxidului de hidrogen în buzunarele subgingivale. Administrarea topică de peroxid de hidrogen după chirurgie. Distribuirea încărcăturii mecanice pe toată suprafața arcadelor dentare (poate necesita aparat dentar). Substituirea dinților lipsă. Excizarea buzunarelor gingivale și infraosoase existente (în stadii avansate). Reevaluare stomatologică la 6 săptămâni după terapia inițială. Chirurgie parodontală (dacă terapia nonchirurgicală eșuează). Debridare deschisă (chirurgicală). Chirurgie osoasă. Regenerare ghidată a țesutului. Grefare de os. Injectarea soluțiilor antimicrobiene în buzunarele periodontale prin irigatoare orale. Igiena orală zilnică riguroasă. Periaj adecvat regulat (de două ori pe zi). Folosirea zilnică a aței dentare. Folosirea unei ape de gură antiseptice. Supraveghere stomatologică regulată (examen la fiecare 6 luni). Profilaxie dentară regulată. Măsurarea adâncimii buzunarelor cu sonda dentară.
Parotidita epidemica (Oreionul sau infectia urliana),"Tratament suportiv și simptomatic (nu există tratament antiviral specific). Evitarea alimentelor care necesită fortarea masticației. Evitarea alimentelor și băuturilor acide. Repaus la pat (în special pentru orhită). Susținerea scrotului (ex. cu bandă adezivă) în caz de orhită. Aplicarea de comprese cu gheață pe zonele inflamate/dureroase (inclusiv scrot). Administrare de fluide intravenoase (în caz de pancreatită severă, meningită, encefalită). Evitarea alimentației pe cale orală pentru câteva zile (în pancreatită severă). Vaccinare (cu vaccin trivalent ROR - Rujeolă-Oreion-Rubeolă) ca metodă de profilaxie. Ecografie testiculară (pentru diagnostic/monitorizare orhită). Puncție lombară (pentru diagnostic meningită/encefalită). Izolarea persoanelor infectate (pentru 9 zile de la debutul tumefierii glandulare). Evitarea contactului cu persoane bolnave de către persoanele susceptibile (nevaccinate)."
Parotiditele acute,"Hidratare adecvată. Întreruperea medicației cu efect atropinic (dacă este cazul). Igienă orală riguroasă. Masajul glandei parotide (pentru stimularea secreției/eliminării salivei, dopuri mucus, calculi mici). Tratament simptomatic (pentru formele virale și juvenile recurente). Drenaj chirurgical (pentru cazuri rezistente la antibiotice sau abcese). Paroidectomie (rezecția chirurgicală a parotidei, rar, pentru infecții cronicizate). Tratamentul sialolitiazei: eliminare prin masaj, intervenție chirurgicală (dilatare duct, efilare, extragere calcul), litotriție extracorporeală. Tratarea focarelor de infecție dentară (preventiv). Consumarea unor bomboane acre (pentru stimularea producției de salivă la persoanele cu flux redus)."
Pata Mongoloida,"Nu se prescrie niciun tratament specific, deoarece majoritatea petelor dispar spontan. Monitorizarea evoluției petelor (dispar de obicei până la 1-4 ani, cele mari până la 10 ani). Camuflarea cu machiaj pentru petele persistente la adulţi. Efectuarea de teste suplimentare (analiza urinei) dacă se suspectează probleme metabolice asociate (în cazul petelor extinse). Efectuarea unei radiografii a spatelui dacă petele sunt prezente pe o mare porţiune din spate, pentru a exclude alte anomalii."
Patologia cordonului ombilical,"Monitorizare fetală continuă în travaliu (monitorizarea BCF). Diagnostic antepartum prin ecografie (pentru anomalii de inserție, lungime, vasculare, tumori). Diagnostic în travaliu prin amnioscopie (pentru vasa praevia). Teste de laborator pentru confirmarea originii fetale a sângerării (Test Apt, Test Kleihauer-Betke în caz de suspiciune vasa praevia). Naștere prin operație cezariană (indicație de elecție în vasa praevia, procidență de cordon; necesară în caz de suferință fetală acută în alte patologii). Terminarea rapidă a nașterii pe cale vaginală (când cezariana nu este posibilă/imediat disponibilă și există suferință fetală). Aplicare de forceps (pentru scurtarea expulziei în caz de suferință fetală). Mică extragere (în prezentație pelviană cu suferință fetală). Examinarea atentă a placentei și cordonului ombilical postpartum."
"Pectus carinatum (stern carenat, stern în carenă, pieptul de pui)",Utilizarea dispozitivelor de compresie externă (orteză toracică/tijă introdusă în peretele toracic prin stern). Ghipsaj toracic. Intervenție chirurgicală (general). Procedura Ravitch. Procedura Nuss. Rezecția endoscopică a cartilajului costal prin osteotomie sternală (minim invazivă). Exerciții pentru creșterea masei musculare (pentru mascarea deformării). Implanturi mamare (pentru mascarea deformării la femei). Augmentarea sânilor (pentru disimularea cazurilor moderate la femei).
Pectus excavatum - Torace infundat,"Corectarea interventională/chirurgicală (în cazuri severe sau simptomatice). Tehnica Ravitch (chirurgie deschisă, excizie cartilaje, bară sub stern). Tehnica Nuss (chirurgie minim invazivă, bare metalice sub stern). Tehnica clopotului gol (dispozitiv cu vacuum). Tehnica de mișcare magnetică (magneți interni și externi). Tratamente cosmetice (umplere cu materiale, implanturi). Programe de exerciții fizice (eficacitate neconfirmată pentru corecție anatomică). Corsete sau veste de suport ortopedice (în cazuri ușoare). Corectarea posturii. Scanare CT (evaluare pre-operatorie, măsurare index Haller). Radiografie toracică (evaluare). Ecocardiografie (evaluare funcție cardiacă, morfologie, obligatorie dacă se suspectează sindrom Marfan). Teste funcționale respiratorii (evaluare). Evaluare cardiologică (auscultație, electrocardiografie)."
Pediculoza capului - paduchi,"Pieptănarea părului ud cu un pieptene special, des (metoda ""wet combing""), zilnic sau la 3-7 zile. Folosirea unui pieptene special pentru păduchi (metalic sau plastic, dinți deși). Repetarea tratamentului cu pediculicide la 7-10 zile pentru a distruge nimfele eclozate. Examinarea regulată a capului, în special la copii. Menținerea părului lung prins în coadă. Spălarea hainelor, prosoapelor, lenjeriei de pat la 60°C timp de 30 minute sau izolarea lor timp de 2 săptămâni. Nu este necesar tratamentul insecticid al casei sau mobilei. Folosirea dispozitivelor cu aer încălzit controlat pentru deshidratarea păduchilor și ouălor. Folosirea produselor naturale: ulei de anason, ulei de lamia, ulei de cocos, ulei din arbore de ceai. Aplicarea de vaselină (petrolatum) pentru a sufoca păduchii (înlăturare dificilă). Aplicarea de oțet pe cap și acoperirea cu o cască de plastic (pentru sufocarea paraziților și erodarea ouălor). Folosirea pieptenilor electronici. Rasul părului de pe cap. Aplicarea de alcool (poate irita scalpul). Evitarea folosirii gazolină/kerosen (periculos și ineficient). Evitarea contactului cap la cap. Evitarea folosirii în comun a obiectelor personale (piepteni, perii, căciuli)."
Pediculoza pubiană,"Spălarea lenjeriei intime, a hainelor și a cearșafurilor la temperaturi înalte. Curățarea riguroasă a toaletei. Aplicarea tratamentului local pe toate zonele corpului acoperite de păr des (pubian, axilar, toracic, etc.), cu excepția regiunii din jurul ochilor. Aplicarea tratamentului pe tegumente curate și uscate. Respectarea timpului de acțiune indicat pentru produsul specific (minute pentru șampoane/loțiuni, ore pentru creme). Reaplicarea tratamentului după 4-7 zile dacă este indicat (pentru a elimina păduchii eclozați din ouă). Tratarea infestării genelor cu unguent oftalmic și pansament ocluziv. Informarea, examinarea și tratarea partenerilor sexuali din ultimele 1-3 luni (dacă sunt infestați). Informarea și examinarea membrilor familiei care au avut contact apropiat. Abstinența sexuală pe durata tratamentului și până la confirmarea eradicării infecției (aproximativ 7-10 zile). Tratarea simultană a ambilor parteneri dintr-un cuplu, dacă sunt infestați. Evitarea folosirii în comun a obiectelor personale (prosoape, haine). Probarea costumelor de baie în magazine peste lenjeria intimă proprie. Consultarea medicului dacă diagnosticul este incert, există leziuni suprainfectate, tratamentul fără rețetă eșuează, sunt afectate genele sau pacientul este sub 18 ani."
Pedofilia,
Pelada - Alopecia areata,"Fotochemoterapie (utilizată de obicei pentru psoriazis, risc de cancer la utilizare îndelungată). Terapii alternative (aromaterapie, acupunctură, plante din China) - eficacitate neclară. Aplicarea unei culori închise pe scalp pentru a micșora contrastul. Utilizarea de peruci, meșe de păr sau eșarfe. Consult psihologic sau psihiatric pentru suport emoțional. Participarea la grupuri de suport sau fundații specializate."
Pelagra - deficienta vitaminei B3 - niacina,Suplimentare vitaminică. Dietă hiperproteică. Administrarea de minerale. Repaus la pat pe timpul tratamentului. Dietă lichidă sau moale (în caz de glosită severă/disfagie). Tratament topic pentru leziunile pielii cu emoliente.
Pemfigoidul bulos,"Terapie individualizată în funcție de severitate și comorbidități. Steroizi topici superpotenți pentru formele localizate sau ușoare. Antiinflamatoare sistemice (tetraciclină și nicotinamidă) ca alternativă sau adjuvant. Steroizi sistemici pentru cazurile severe. Imunosupresoare (azatioprină, metotrexat, micofenolat) ca agenți de economisire a steroizilor sau în cazuri refractare. Reducerea progresivă a dozelor și întreruperea treptată a medicației pentru a preveni recăderile. Prevenția osteoporozei la pacienții tratați cu corticosteroizi sistemic pe termen lung (suplimente calciu/vitamina D, bifosfonați). Măsurarea activității thiopurin metiltransferazei înainte de inițierea tratamentului cu azatioprină. Plasmafereză (în anumite cazuri). Evitarea alimentelor dure și condimentate (în caz de afectare orală). Supraveghere medicală regulată. Reevaluarea frecventă a terapiei."
Pemfigoidul gestational,ameliorarea pruritului. blocarea extinderii veziculelor. utilizarea celor mai mici doze terapeutice eficiente. evaluarea riscurilor și beneficiilor terapiilor. băi calde/călduțe. comprese locale. emoliente. plasmafereză. ooforectomie chimică.
Anomalii ale sanilor,"Tratament conservator prin suspensia și compresiunea moderată a sânilor (în forme ușoare de hipertrofie). Operații plastice de mamoreducție (pentru forme avansate de hipertrofie). Mastectomie cu păstrarea areolei și mamelonului (pentru ginecomastie mare, refractară, progresivă, la tineri). Tehnici chirurgicale de mamosuspensie (pentru ptoză). Tehnici chirurgicale de mamoreducție (asociate cu mamosuspensia dacă ptoza este asociată cu hipertrofie). Masaje ușoare ale mamelonului (pentru mamelon scurt). Aplicarea pompei de supt (pentru mamelon scurt). Mamiloplastie (rezecție cutanată periareolară - pentru mamelon ombilicat). Utilizarea unei pompe extractoare pentru mulgerea sânului (pentru mamelon invaginat). Tratament etiologic (stabilirea cauzei specifice a anomaliei, de ex. ginecomastie)."
Anomalii congenitale ale aparatului lacrimal,"Vindecare spontană (posibilă în imperforarea canalului lacrimonazal). Masajul regiunii sacului lacrimal. Irigare sub presiune a căilor lacrimale (pentru forțarea ruperii membranei Hasner). Sondajul canalului lacrimonazal (înainte de 3 luni, repetabil). Extirparea în bloc a chisturilor congenitale (dacryops). Extirparea chirurgicală a fistulelor congenitale. Transplantarea fistulelor în fundul de sac conjunctival. Dilatarea punctului lacrimal (cu sondă fină sub microscop). Dacriocistorinostomia (intervenție chirurgicală, după vârsta de 3 ani)."
Anomalii congenitale ale conjunctivei,Observarea și evaluarea periodică (atitudine standard). Tratament chirurgical (excizie) - în caz de scădere a vederii sau din rațiuni estetice. Dietă cu aport redus de cistină (pentru Cistinoză).
Anomalii ureterale,"Supraveghere medicală activă (expectativă). Tratarea disfuncției golirii vezicale. Monitorizare radiologică regulată. Intervenție chirurgicală (general). Reimplantare ureterală (pentru megaureter, ectopie). Reducerea calibrului ureteral (tehnica Hendren, tehnica Kalicinski). Nefroureteroectomie (pentru rinichi/ureter sever afectat). Nefrectomie cu ureterectomie (pentru ectopie cu rinichi nefuncțional). Ureteropielostomie sau Ureteroureterostomie (pentru ectopie în sistem duplicat). Reconstrucția gâtului vezical (dacă este necesar în ectopie). Decompresie endoscopică a ureterocelului. Excizia ureterocelului și reimplantare ureterală. Heminefrectomie a polului superior renal cu ureteroectomie și decompresia ureterocelului. Pieloplastie (pentru stenoze ureterale). Divizare chirurgicală cu anastomoze uretero-ureterale (pentru ureter retrocav). Dilatare percutană a stricturii (pentru obstrucție postoperatorie)."
Anomalii urogenitale congenitale,Depistare timpurie. Intervenție promptă în cazurile grave.
Anomaliile congenitale ale nervului optic,"Monitorizare oftalmologică periodică. Corecție optică a viciilor de refracție asociate (ex. miopie, astigmatism). Tratamentul complicațiilor (ex. chirurgie pentru dezlipirea de retină, tratament pentru maculopatie). Managementul ambliopiei (ochi leneș), dacă este prezentă. Tomodensiometrie (pentru diagnostic diferențial în Sindromul morning glory)."
Anomaliile congenitale ale vitrosului,Ablația totală a malformației (pentru Persistența vitrosului primitiv). Enucleație (în cazurile foarte severe de Persistența vitrosului primitiv).
Anomaliile cromozomiale,"Testare citogenetică (Cariotip). Consiliere genetică. Diagnostic prenatal (ex: amniocenteza). Suplimentarea aportului de acid folic în sarcină (ca măsură preventivă generală, bazată pe o teorie). Tehnici moleculare de diagnostic (ex: Hibridizare genomică comparativă - CGH). Secvențiere de ultimă generație (NGS) pentru detectarea anomaliilor. Testare genetică pentru purtătorii de inversiuni sau translocații."
"Anomaliile de structură dentară (Hipoplazia, Hiperplazia, Displazia)","Prevenirea bolilor implicate în etiologie la gravide și copii (în special în primul an de viață). Asigurarea unui aport adecvat de vitamine și minerale în perioada de dezvoltare dentară. Confecționarea de fațete dentare (pentru leziuni vizibile, cu afectare estetică). Restaurări prin obturații fizionomice cu materiale compozite. Fluorizare locală (pentru diminuarea riscului de carie). Tratament ortodontic (în cazuri grave)."
Anorectita,"Administrare topică (clisme, supozitoare). Suplimente cu fibre alimentare (ex: Metamucil). Menținerea echilibrului hidric și electrolitic. Îngrijire locală. Dietă cu reziduuri alimentare reduse. Agenți de lubrifiere a scaunului. Tratament chirurgical (în cazuri selectate: eșec medical, complicații, BII severă). Proctocolectomie totală cu pungă ileală (pentru colita ulcerativă). Proctectomie (pentru boala Crohn severă). Diversiune fecală (colostomie/ileostomie). Colectomie subtotală (pentru colita cu C. difficile fulminantă). Terapie endoscopică pentru sângerare (în special post-iradiere): Coagulare cu laser argon plasma, sonde termice, lasere. Diversiune urinară (în caz de fistulă recto-urinară)."
Anorexia nervoasa,"Terapie psihologică (cognitiv-analitică, cognitiv-comportamentală, interpersonală, psihodinamică focalizată pe problemă, familială, de grup). Monitorizarea și controlul câștigului ponderal (plan alimentar progresiv). Inițierea rapidă a tratamentului. Abordare terapeutică multidisciplinară (medic psihiatru, consilier psihologic, dietetician, medic pediatru, medic de familie). Spitalizare (în cazuri severe sau cu complicații). Admiterea existenței unei probleme. Discuții cu persoane de încredere. Îndepărtarea de factori declanșatori (locuri, activități, persoane). Apelarea la ajutor de specialitate. Înțelegerea că anorexia nu este doar despre aspectul fizic. Tolerarea emoțiilor (ex: tehnici de mindfulness). Confruntarea tiparelor de gândire distructive (perfecționism, gândire dihotomică, raționalizare emoțională, reguli rigide, etichetare, fatalism). Adoptarea unei perspective alternative asupra gândurilor. Sprijin din partea familiei și apropiaților (evitarea criticilor, model de comportament sănătos, răbdare). Prevenție prin adoptarea unor comportamente alimentare sănătoase și construirea unei imagini de sine pozitive de la vârste fragede."
